Block Type;96well;;;
Chemistry;SYBR_GREEN;;;
Experiment File Name;D:\Documents and Settings\INSTR-ADMIN\My Documents\LukaszL_qPCR\miRNA_2-1.eds;;;
Experiment Run End Time;2017-06-16 11:25:46 AM CEST;;;
Instrument Type;steponeplus;;;
Passive Reference;;;;
;;;;
Well;Cycle;Target Name;Rn;?Rn
A12;18;Target 1;31851,10156;-49,79313278
A12;19;Target 1;31828,42188;-96,12589264
A12;20;Target 1;31738,19922;-210,0016174
A12;21;Target 1;31823,92969;-147,9242249
A12;22;Target 1;31872,45703;-123,049942
A12;23;Target 1;31719,58594;-299,5740967
A12;24;Target 1;31726,125;-316,6881104
A12;25;Target 1;31671,80078;-394,6654053
A12;26;Target 1;31714,66016;-375,4591064
A12;27;Target 1;31888,99219;-224,7801361
A12;28;Target 1;31960,88477;-176,5406342
A12;29;Target 1;32065,74219;-95,33628082
A12;30;Target 1;32357,22266;172,4911194
A12;31;Target 1;32923,04688;714,6622925
A12;32;Target 1;34016,92188;1784,884155
A12;33;Target 1;36041,99609;3786,30542
A12;34;Target 1;40056,6875;7777,34375
A12;35;Target 1;47873,25;15570,25293
A12;36;Target 1;62066,63672;29739,98633
A12;37;Target 1;86520,66406;54170,35938
A12;38;Target 1;120710,3438;88336,39063
A12;39;Target 1;160112,3125;127714,7031
A12;40;Target 1;197741,3125;165320,0469
B1;1;Target 1;22294,50391;67,36881256
B1;2;Target 1;22316,99609;-5,569661617
B1;3;Target 1;22261,54102;-156,4553986
B1;4;Target 1;22457,78711;-55,63997269
B1;5;Target 1;22704,35156;95,49381256
B1;6;Target 1;22683,22461;-21,06380272
B1;7;Target 1;22955,06445;155,3453827
B1;8;Target 1;22967,29102;72,1412735
B1;9;Target 1;22983,21094;-7,369466305
B1;10;Target 1;23146,57813;60,56705856
B1;11;Target 1;23106,96875;-74,47298431
B1;12;Target 1;23311,26563;34,39323044
B1;13;Target 1;23372,89063;0,587565124
B1;14;Target 1;23319,22656;-148,5071564
B1;15;Target 1;23663,21875;100,0543594
B1;16;Target 1;23608,26172;-50,33333206
B1;17;Target 1;23749,28516;-4,740560055
B1;18;Target 1;23571,78516;-277,6712341
B1;19;Target 1;23622,47266;-322,4143982
B1;20;Target 1;23680,40234;-359,9153748
B1;21;Target 1;23806,3125;-329,4358826
B1;22;Target 1;23936,57813;-294,6009216
B1;23;Target 1;24020,05469;-306,5550232
B1;24;Target 1;24027,61328;-394,4270935
B1;25;Target 1;24256,02734;-261,4436951
B1;26;Target 1;24331,48047;-281,4212341
B1;27;Target 1;24426,08203;-282,2503357
B1;28;Target 1;24581,8125;-221,9505157
B1;29;Target 1;25199,21875;300,0250549
B1;30;Target 1;25798,37305;803,7487183
B1;31;Target 1;27398,26758;2308,212646
B1;32;Target 1;29946,38477;4760,898926
B1;33;Target 1;35414,23438;10133,31836
B1;34;Target 1;45423,48047;20047,13281
B1;35;Target 1;64459,62891;38987,85156
B1;36;Target 1;96905,32031;71338,10938
B1;37;Target 1;145330,9688;119668,3281
B1;38;Target 1;196463,4688;170705,4063
B1;39;Target 1;240377,5625;214524,0625
B1;40;Target 1;272943,0625;246994,125
B2;1;Target 1;45569,89844;991,461731
B2;2;Target 1;45508,74219;967,8616333
B2;3;Target 1;45240,27344;736,9489746
B2;4;Target 1;44698,82422;233,0559082
B2;5;Target 1;44495,61719;67,40502167
B2;6;Target 1;44356,24219;-34,41384506
B2;7;Target 1;44038,39844;-314,7014465
B2;8;Target 1;44466,47266;150,928894
B2;9;Target 1;44210,91406;-67,07356262
B2;10;Target 1;43749,94531;-490,4861755
B2;11;Target 1;44093,16016;-109,7151947
B2;12;Target 1;44087,80078;-77,51843262
B2;13;Target 1;44175,12109;47,35801697
B2;14;Target 1;44248,98438;158,7774353
B2;15;Target 1;44001,5625;-51,08830643
B2;16;Target 1;43529,02344;-486,071228
B2;17;Target 1;43575,68359;-401,85495
B2;18;Target 1;43546,13281;-393,8495789
B2;19;Target 1;43994,50781;92,0815506
B2;20;Target 1;44031,73438;166,8642578
B2;21;Target 1;43476,40625;-350,9077454
B2;22;Target 1;44077,39844;287,6405945
B2;23;Target 1;43945,26563;193,0639038
B2;24;Target 1;43796,59766;81,95207977
B2;25;Target 1;43738,74219;61,65274429
B2;26;Target 1;44139,48438;499,9510803
B2;27;Target 1;43620,35156;18,37439156
B2;28;Target 1;43834,42188;270,0008545
B2;29;Target 1;44171,5625;644,6976318
B2;30;Target 1;44562,85156;1073,542847
